id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
1,Batman (Bruce Wayne),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,3093.0,"1939, May",1939.0
2,Superman (Clark Kent),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,2496.0,"1986, October",1986.0
3,Green Lantern (Hal Jordan),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,1565.0,"1959, October",1959.0
4,James Gordon (New Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Living Characters,1316.0,"1987, February",1987.0
5,Richard Grayson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,1237.0,"1940, April",1940.0
6,Wonder Woman (Diana Prince),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,1231.0,"1941, December",1941.0
7,Aquaman (Arthur Curry),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,1121.0,"1941, November",1941.0
8,Timothy Drake (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,1095.0,"1989, August",1989.0
9,Dinah Laurel Lance (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,1075.0,"1969, November",1969.0
10,Flash (Barry Allen),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,1028.0,"1956, October",1956.0
11,GenderTest,Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,1028.0,"1956, October",1956.0
12,Alan Scott (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,969.0,"1940, July",1940.0
13,Jason Garrick (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,951.0,"1940, January",1940.0
14,Barbara Gordon (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,951.0,"1967, January",1967.0
15,Lois Lane (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,934.0,"1938, June",1938.0
16,Alfred Pennyworth (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,930.0,"1943, April",1943.0
17,Carter Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,803.0,"1940, January",1940.0
18,Kyle Rayner (New Earth),Secret Identity,Good Characters,Green Eyes,Black Hair,Living Characters,716.0,"1994, January",1994.0
19,Raymond Palmer (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,706.0,"1961, October",1961.0
20,Alexander Luthor (New Earth),Public Identity,Bad Characters,Green Eyes,Unknown or None,Living Characters,677.0,"1986, October",1986.0
21,Roy Harper (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,654.0,"1941, November",1941.0
22,Kara Zor-L (Earth-Two),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,635.0,"1976, February",1976.0
23,Ted Grant (New Earth),Secret Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,605.0,"1942, January",1942.0
24,Garfield Logan (New Earth),Public Identity,Good Characters,Green Eyes,Green Hair,Living Characters,595.0,"1965, November",1965.0
25,Guy Gardner (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,593.0,"1968, March",1968.0
26,Victor Stone (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,584.0,"1980, October",1980.0
27,Kon-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,560.0,"1993, June",1993.0
28,Ralph Dibny (New Earth),Public Identity,Unknown or None,Blue Eyes,Red Hair,Deceased Characters,558.0,"1960, May",1960.0
29,James Olsen (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Living Characters,557.0,"1986, October",1986.0
30,John Stewart (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,549.0,"1971, December",1971.0
31,Joker (New Earth),Secret Identity,Bad Characters,Green Eyes,Green Hair,Living Characters,517.0,"1940, June",1940.0
32,Franklin Rock (New Earth),Public Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,492.0,"1959, April",1959.0
33,Garth (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Deceased Characters,487.0,"1960, February",1960.0
34,Rex Mason (New Earth),Secret Identity,Unknown or None,Black Eyes,Unknown or None,Living Characters,470.0,"1965, January",1965.0
35,Zatanna Zatara (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,439.0,"1964, November",1964.0
36,Aztar (New Earth),Secret Identity,Unknown or None,White Eyes,Unknown or None,Living Characters,436.0,"1940, February",1940.0
37,Theodore Kord (New Earth),Secret Identity,Unknown or None,Blue Eyes,Brown Hair,Deceased Characters,429.0,"1986, February",1986.0
38,Michael Jon Carter (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,427.0,"1986, February",1986.0
39,Cassandra Sandsmark (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,423.0,"1996, January",1996.0
40,Kent Nelson (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,422.0,"1940, May",1940.0
41,Harvey Bullock (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,413.0,"1974, July",1974.0
42,Rachel Roth (New Earth),Secret Identity,Good Characters,Purple Eyes,Black Hair,Living Characters,399.0,"1980, October",1980.0
43,Helena Bertinelli (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,393.0,"1989, April",1989.0
44,Wesley Dodds (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,391.0,"1939, April",1939.0
45,Uxas (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Deceased Characters,388.0,"1970, December",1970.0
46,Ronald Raymond (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,386.0,"1978, March",1978.0
47,Nathaniel Adam (New Earth),Secret Identity,Good Characters,Blue Eyes,White Hair,Living Characters,386.0,"1987, March",1987.0
48,Red Tornado (New Earth),Secret Identity,Good Characters,Green Eyes,Unknown or None,Living Characters,374.0,"1968, August",1968.0
49,John Constantine (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,371.0,"1984, June",1984.0
50,Albert Pratt (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,370.0,"1940, October",1940.0
51,Charles McNider (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,361.0,"1941, April",1941.0
52,Theodore Knight (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,356.0,"1941, April",1941.0
53,Lobo (New Earth),Public Identity,Neutral Characters,Red Eyes,Black Hair,Living Characters,353.0,"1983, June",1983.0
54,Perry White (New Earth),Public Identity,Unknown or None,Blue Eyes,Brown Hair,Living Characters,350.0,"1986, October",1986.0
55,John Henry Irons (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,345.0,"1993, June",1993.0
56,Jefferson Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,344.0,"1977, April",1977.0
57,Slade Wilson (New Earth),Secret Identity,Neutral Characters,Blue Eyes,White Hair,Living Characters,336.0,"1980, December",1980.0
58,Phantom Stranger (New Earth),Secret Identity,Unknown or None,Black Eyes,Black Hair,Living Characters,335.0,"1952, September",1952.0
59,Beatriz da Costa (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Living Characters,325.0,"1982, June",1982.0
60,William Batson (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,321.0,"1940, February",1940.0
61,Carol Ferris (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,319.0,"1959, October",1959.0
62,Clifford Steele (New Earth),Public Identity,Unknown or None,Photocellular Eyes,Unknown or None,Living Characters,314.0,"1963, June",1963.0
63,Etrigan (New Earth),Public Identity,Neutral Characters,Red Eyes,Unknown or None,Living Characters,311.0,"1972, September",1972.0
64,Jennifer-Lynn Hayden (New Earth),Secret Identity,Good Characters,Green Eyes,Green Hair,Living Characters,309.0,"1983, September",1983.0
65,Swamp Thing (New Earth),Public Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,309.0,"1972, November",1972.0
66,Renee Montoya (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,308.0,"1992, March",1992.0
67,Harvey Dent (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,306.0,"1942, August",1942.0
68,Courtney Whitmore (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,305.0,"1999, July",1999.0
69,Kendra Saunders (New Earth),Secret Identity,Good Characters,Hazel Eyes,Brown Hair,Deceased Characters,301.0,"1999, August",1999.0
70,Michael Holt (New Earth),Secret Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,300.0,"1997, June",1997.0
71,Kilowog (New Earth),Public Identity,Good Characters,Red Eyes,Unknown or None,Living Characters,299.0,"1986, June",1986.0
72,Kara Zor-El (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,297.0,"2004, May",2004.0
73,Jonah Hex (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,291.0,"1972, March",1972.0
74,Rex Tyler (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,288.0,"1940, March",1940.0
75,Pamela Isley (New Earth),Secret Identity,Neutral Characters,Green Eyes,Red Hair,Living Characters,286.0,"1966, June",1966.0
76,Pieter Cross (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,284.0,"1999, February",1999.0
77,Jonathan L. Thunder (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,282.0,"1940, January",1940.0
78,Mari McCabe (New Earth),Secret Identity,Good Characters,Amber Eyes,Brown Hair,Living Characters,268.0,"1981, July",1981.0
79,Scott Free (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,268.0,"1971, April",1971.0
80,Martha Clark (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,266.0,"1986, October",1986.0
81,Boston Brand (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Deceased Characters,262.0,"1967, October",1967.0
82,Daniel Turpin (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Deceased Characters,261.0,"1942, June",1942.0
83,John Zatara (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,256.0,"1938, June",1938.0
84,Jonathan Kent (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Deceased Characters,254.0,"1986, October",1986.0
85,Oswald Cobblepot (New Earth),Public Identity,Unknown or None,Blue Eyes,Black Hair,Living Characters,253.0,"1941, December",1941.0
86,Tatsu Yamashiro (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,252.0,"1983, July",1983.0
87,Lawrence Trainor (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,250.0,"1963, June",1963.0
88,Albert Rothstein (New Earth),Secret Identity,Good Characters,Blue Eyes,Unknown or None,Living Characters,245.0,"1983, September",1983.0
89,Brion Markov (New Earth),Secret Identity,Good Characters,Green Eyes,Strawberry Blond Hair,Living Characters,245.0,"1983, July",1983.0
90,Sanderson Hawkins (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,241.0,"1941, December",1941.0
91,Jonathan Chambers (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,239.0,"1941, September",1941.0
92,Orion (New Earth),Public Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Deceased Characters,237.0,"1971, March",1971.0
93,Thaal Sinestro (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Black Hair,Living Characters,237.0,"1961, August",1961.0
94,Jason Todd (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,235.0,"1987, June",1987.0
95,Cassandra Cain (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,235.0,"1999, July",1999.0
96,Susan Dearbon (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,235.0,"1961, March",1961.0
97,Jean-Paul Valley (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,234.0,"1992, October",1992.0
98,Hippolyta (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,231.0,"1987, February",1987.0
99,Sylvester Pemberton (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,229.0,"1941, October",1941.0
100,Bernhard Baker (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,229.0,"1965, September",1965.0
101,Joseph Wilson (New Earth),Secret Identity,Neutral Characters,Green Eyes,Blond Hair,Living Characters,229.0,"1984, May",1984.0
102,Jesse Chambers (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,228.0,"1992, August",1992.0
103,Floyd Lawton (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Brown Hair,Living Characters,227.0,"1950, June",1950.0
104,Mera (New Earth),Public Identity,Unknown or None,Blue Eyes,Red Hair,Living Characters,226.0,"1963, October",1963.0
105,Tora Olafsdotter (New Earth),Public Identity,Good Characters,Blue Eyes,White Hair,Living Characters,225.0,"1988, April",1988.0
106,George Harkness (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,224.0,"1960, December",1960.0
107,Jonathan Crane (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Living Characters,222.0,"1941, September",1941.0
108,Amanda Waller (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,222.0,"1986, November",1986.0
109,Shiera Sanders (New Earth),Secret Identity,Good Characters,Brown Eyes,Red Hair,Living Characters,219.0,"1940, January",1940.0
110,Leonard Snart (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,219.0,"1957, June",1957.0
