id,Scientific Name,Common Name,Class,Conservation Status
1,Eschrichtius Robustus,Atlantic Grey Whale,Mammal,Extirpated
2,Mustela Nigripes,Black-Footed Ferret,Mammal,Extirpated
3,Odobenus Rosmarus Rosmarus,Northwest Atlantic Atlantic Walrus,Mammal,Extirpated
4,Balaenoptera Borealis,Pacific Sei Whale,Mammal,Endangered
5,Balaenoptera Musculus,Atlantic Blue Whale,Mammal,Endangered
6,Balaenoptera Musculus,Pacific Blue Whale,Mammal,Endangered
7,Dipodomys Ordii,Ord's Kangaroo Rat,Mammal,Endangered
8,Eubalaena Glacialis,North Atlantic Right Whale,Mammal,Endangered
9,Eubalaena Japonica,North Pacific Right Whale,Mammal,Endangered
10,Gulo Gulo,Eastern Wolverine,Mammal,Endangered
11,Hyperoodon Ampullatus,Scotian Shelf Northern Bottlenose Whale,Mammal,Endangered
12,Marmota Vancouverensis,Vancouver Island Marmot,Mammal,Endangered
13,Martes Americana Atrata,Newfoundland American Marten,Mammal,Endangered
14,Orcinus Orca,Northeast Pacific Southern Killer Whale,Mammal,Endangered
15,Rangifer Tarandus Caribou,Atlantic-Gaspésie Woodland Caribou,Mammal,Endangered
16,Scapanus Townsendii,Townsend's Mole,Mammal,Endangered
17,Sorex Bendirii,Pacific Water Shrew,Mammal,Endangered
18,Taxidea Taxus Jacksoni,Jacksoni' American Badger,Mammal,Endangered
19,Taxidea Taxus Jeffersonii,Jeffersonii' American Badger,Mammal,Endangered
20,Vulpes Velox,Swift Fox,Mammal,Endangered
21,Antrozous Pallidus,Pallid Bat,Mammal,Threatened
22,Balaenoptera Physalus,Pacific Fin Whale,Mammal,Threatened
23,Bison Bison Athabascae,Wood Bison,Mammal,Threatened
24,Enhydra Lutris,Sea Otter,Mammal,Threatened
25,Delphinapterus Leucas,St. Lawrence Estuary Beluga Whale,Mammal,Threatened
26,Mustela Haidarum,Haida Ermine,Mammal,Threatened
27,Megaptera Novaeangliae,North Pacific Humpback Whale,Mammal,Threatened
28,Orcinus Orca,Northeast Pacific Transient Killer Whale,Mammal,Threatened
29,Orcinus Orca,Northeast Pacific Northern Resident Killer Whale,Mammal,Threatened
30,Rangifer Tarandus Caribou,Boreal Woodland Caribou,Mammal,Threatened
31,Rangifer Tarandus Caribou,Southern Mountain Woodland Caribou,Mammal,Threatened
32,Urocyon Cinereoargenteus,Grey Fox,Mammal,Threatened
33,Balaena Mysticetus,Bering-Chukchi-Beaufort Bowhead Whale,Mammal,Special Concern
34,Balaenoptera Physalus,Atlantic Fin Whale,Mammal,Special Concern
35,Canis Lycaon,Eastern Wolf,Mammal,Special Concern
36,Cynomys Ludovicianus,Black-Tailed Prairie Dog,Mammal,Special Concern
37,Eschrichtius Robustus,Eastern North Pacific Grey Whale,Mammal,Special Concern
38,Euderma Maculatum,Spotted Bat,Mammal,Special Concern
39,Eumetopias Jubatus,Steller Sea Lion,Mammal,Special Concern
40,Microtus Pinetorum,Woodland Vole,Mammal,Special Concern
41,Orcinus Orca,Northeast Pacific Offshore Killer Whale,Mammal,Special Concern
42,Phocoena Phocoena,Pacific Ocean Harbour Porpoise,Mammal,Special Concern
43,Rangifer Tarandus Caribou,Northern Mountain Woodland Caribou,Mammal,Special Concern
44,Scalopus Aquaticus,Eastern Mole,Mammal,Special Concern
45,Sylvilagus Nuttallii Nuttallii,Nuttall's Cottontail,Mammal,Special Concern
46,Ursus Maritimus,Polar Bear,Mammal,Special Concern
47,Tympanuchus Cupido,Greater Prairie-Chicken,Avian,Extirpated
48,Ammodramus Henslowii,Henslow's Sparrow,Avian,Endangered
49,Athene Cunicularia,Burrowing Owl,Avian,Endangered
50,Centrocercus Urophasianus Urophasianus,Urophasianus' Greater Sage-Grouse,Avian,Endangered
51,Charadrius Melodus Circumcinctus,Circumcinctus' Piping Plover,Avian,Endangered
52,Charadrius Melodus Melodus,Melodus' Piping Plover,Avian,Endangered
53,Charadrius Montanus,Mountain Plover,Avian,Endangered
54,Colinus Virginianus,Northern Bobwhite,Avian,Endangered
55,Dendroica Kirtlandii,Kirtland's Warbler,Avian,Endangered
56,Empidonax Virescens,Acadian Flycatcher,Avian,Endangered
57,Eremophila Alpestris Strigata,Strigata' Horned Lark,Avian,Endangered
58,Grus Americana,Whooping Crane,Avian,Endangered
59,Icteria Virens Auricollis,BC 'Auricollis' Yellow-Breasted Chat,Avian,Endangered
60,Lanius Ludovicianus Migrans,Migrans' Loggerhead Shrike,Avian,Endangered
61,Loxia Curvirostra Percna,Percna' Red Crossbill,Avian,Endangered
62,Megascops Kennicottii Macfarlanei,Macfarlanei' Western Screech-Owl,Avian,Endangered
63,Numenius Borealis,Eskimo Curlew,Avian,Endangered
64,Oreoscoptes Montanus,Sage Thrasher,Avian,Endangered
65,Picoides Albolarvatus,White-Headed Woodpecker,Avian,Endangered
66,Pooecetes Gramineus Affinis,Affinis' Vesper Sparrow,Avian,Endangered
67,Protonotaria Citrea,Prothonotary Warbler,Avian,Endangered
68,Rallus Elegans,King Rail,Avian,Endangered
69,Sphyrapicus Thyroideus,Williamson's Sapsucker,Avian,Endangered
70,Sterna Dougallii,Roseate Tern,Avian,Endangered
71,Strix Occidentalis Caurina,Caurina' Spotted Owl,Avian,Endangered
72,Tyto Alba,Eastern Barn Owl,Avian,Endangered
73,Accipiter Gentilis Laingi,Laingi' Northern Goshawk,Avian,Threatened
74,Aegolius Acadicus Brooksi,Brooksi' Northern Saw-Whet Owl,Avian,Threatened
75,Anthus Spragueii,Sprague's Pipit,Avian,Threatened
76,Brachyramphus Marmoratus,Marbled Murrelet,Avian,Threatened
77,Falco Peregrinus Anatum,Anatum' Peregrine Falcon,Avian,Threatened
