Rank,Word
1,the
2,of
3,to
4,and
5,a
6,in
7,is
8,it
9,you
10,that
11,he
12,was
13,for
14,on
15,are
16,with
17,as
18,I
19,his
20,they
21,be
22,at
23,one
24,have
25,this
26,from
27,or
28,had
29,by
30,not
31,word
32,but
33,what
34,some
35,we
36,can
37,out
38,other
39,were
40,all
41,there
42,when
43,up
44,use
45,your
46,how
47,said
48,an
49,each
50,she
51,which
52,do
53,their
54,time
55,if
56,will
57,way
58,about
59,many
60,then
61,them
62,write
63,would
64,like
65,so
66,these
67,her
68,long
69,make
70,thing
71,see
72,him
73,two
74,has
75,look
76,more
77,day
78,could
79,go
80,come
81,did
82,number
83,sound
84,no
85,most
86,people
87,my
88,over
89,know
90,water
91,than
92,call
93,first
94,who
95,may
96,down
97,side
98,been
99,now
100,find
101,any
102,new
103,work
104,part
105,take
106,get
107,place
108,made
109,live
110,where
111,after
112,back
113,little
114,only
115,round
116,man
117,year
118,came
119,show
120,every
121,good
122,me
123,give
124,our
125,under
126,name
127,very
128,through
129,just
130,form
131,sentence
132,great
133,think
134,say
135,help
136,low
137,line
138,differ
139,turn
140,cause
141,much
142,mean
143,before
144,move
145,right
146,boy
147,old
148,too
149,same
150,tell
151,does
152,set
153,three
154,want
155,air
156,well
157,also
158,play
159,small
160,end
161,put
162,home
163,read
164,hand
165,port
166,large
167,spell
168,add
169,even
170,land
171,here
172,must
173,big
174,high
175,such
176,follow
177,act
178,why
179,ask
180,men
181,change
182,went
183,light
184,kind
185,off
186,need
187,house
188,picture
189,try
190,us
191,again
192,animal
193,point
194,mother
195,world
196,near
197,build
198,self
199,earth
200,father
201,head
202,stand
203,own
204,page
205,should
206,country
207,found
208,answer
209,school
210,grow
211,study
212,still
213,learn
214,plant
215,cover
216,food
217,sun
218,four
219,between
220,state
221,keep
222,eye
223,never
224,last
225,let
226,thought
227,city
228,tree
229,cross
230,farm
231,hard
232,start
233,might
234,story
235,saw
236,far
237,sea
238,draw
239,left
240,late
241,run
242,don't
243,while
244,press
245,close
246,night
247,real
248,life
249,few
250,north
251,open
252,seem
253,together
254,next
255,white
256,children
257,begin
258,got
259,walk
260,example
261,ease
