A Quick One Before the Eternal Worm Devours Connecticut,Have A Nice Life
A Sad Cartoon,Loathe
All I Need,Radiohead
Bloodhail,Have A Nice Life
Bodies,Drowning Pool
Daydreaming,Radiohead
Die For You,The Weeknd
Die In a Fire,"The Living Tombstone, EileMonty, Orko"
Die With A Smile,"Lady Gaga, Bruno Mars"
Everything Dies,Type O Negative
Everything In Its Right Place,Radiohead
Exit Music (For A Film),Radiohead
Fake Plastic Trees,Radiohead
Freaks (feat. Travis Barker),"Surf Curse, Travis Barker"
Glimpse of Us,Joji
How to Disappear Completely,Radiohead
Hunter,Have A Nice Life
Hurt You,Spiritbox
I Bet On Losing Dogs,Mitski
Jigsaw Falling Into Place,Radiohead
Let Down,Radiohead
Lo Siento BB:/,"Tainy, Bad Bunny, Julieta Venegas"
Mellon Collie And The Infinite Sadness - Remastered 2012,The Smashing Pumpkins
My Iron Lung,Radiohead
NUMB,XXXTENTACION
No Longer You,"Jorge Rivera-Herrans, Mason Olshavsky"
No Surprises,Radiohead
Nope your too late i already died,"wifiskeleton, i wanna be a jack-o-lantern"
Stay Away from My Friends,Pierce The Veil
Nude,Radiohead
Paranoid Android,Radiohead
Patience (feat. Don Toliver),"Lil Uzi Vert, Don Toliver"
Qué Pasaría...,"Rauw Alejandro, Bad Bunny"
Reckoner,Radiohead
SLOW DANCING IN THE DARK,Joji
Street Spirit (Fade Out),Radiohead
There Is No Food,Have A Nice Life
True Love Waits,Radiohead
WILDFLOWER,Billie Eilish
We Are Broken,Paramore
Your Betrayal,Bullet for My Valentine
everything i wanted,Billie Eilish
exile (feat. Bon Iver),"Taylor Swift, Bon Iver"
idontwannabeyouanymore,Billie Eilish
ocean eyes,Billie Eilish
unravel,TK from Ling tosite sigure
unravel (acoustic version),TK from Ling tosite sigure
when the party's over,Billie Eilish
永久 -トコシエ-,"HYDE, MY FIRST STORY"
After The Earthquake,Alvvays
Acting,Sweet Trip
As the World Caves In,Matt Maltese
"Ecailles de lune, Pt. 1",Alcest
"Ecailles de lune, Pt. 2",Alcest
Is It Really You?,Loathe
I Don't Wanna Be Me,Type O Negative
I Hate Everything About You,Three Days Grace
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
#VALUE!,
