id,Position,Track Name,Artist,Popularity
1,1,greedy,Tate McRae,100
2,2,All I Want for Christmas Is You,Mariah Carey,94
3,3,Lovin On Me,Jack Harlow,94
4,4,My Love Mine All Mine,Mitski,98
5,5,Last Christmas - Single Version,Wham!,82
6,6,Cruel Summer,Taylor Swift,98
7,7,Si No Estás,iñigo quintero,99
8,8,Standing Next to You,Jung Kook,97
9,9,Seven (feat. Latto) (Explicit Ver.),Jung Kook,89
10,10,Rockin' Around The Christmas Tree,Brenda Lee,91
11,11,Paint The Town Red,Doja Cat,88
12,12,PERRO NEGRO,Bad Bunny,97
13,13,Strangers,Kenya Grace,97
14,14,HARLEY QUINN,Fuerza Regida,94
15,15,Agora Hills,Doja Cat,84
16,16,Jingle Bell Rock,Bobby Helms,87
17,17,Que Onda,Calle 24,94
18,18,QLONA,KAROL G,93
19,19,MONACO,Bad Bunny,97
20,20,I Wanna Be Yours,Arctic Monkeys,95
21,21,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,94
22,22,Houdini,Dua Lipa,92
23,23,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,92
24,24,Santa Tell Me,Ariana Grande,89
25,25,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,80
26,26,It's Beginning to Look a Lot like Christmas,Michael Bublé,80
27,27,Según Quién,Maluma,89
28,28,Water,Tyla,95
29,29,Stick Season,Noah Kahan,91
30,30,As It Was,Harry Styles,94
31,31,It's the Most Wonderful Time of the Year,Andy Williams,75
32,32,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,88
33,33,LALA,Myke Towers,95
34,34,3D (feat. Jack Harlow),Jung Kook,87
35,35,The Night We Met,Lord Huron,82
36,36,Snowman,Sia,88
37,37,Kill Bill,SZA,91
38,38,Daylight,David Kushner,94
39,39,Starboy,The Weeknd,93
40,40,vampire,Olivia Rodrigo,94
41,41,Prada,cassö,94
42,42,exes,Tate McRae,88
43,43,LADY GAGA,Peso Pluma,93
44,44,Columbia,Quevedo,93
45,45,Another Love,Tom Odell,92
46,46,Sweater Weather,The Neighbourhood,92
47,47,Dance The Night - From Barbie The Album,Dua Lipa,93
48,48,Underneath the Tree,Kelly Clarkson,80
49,49,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,94
50,50,IDGAF (feat. Yeat),Drake,93
